rank,Country,worldPercentage,growthRate,density,CCA3,Capital,Continent,2023 Population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²)
99,Togo,0.11255882536671112,0.0232,166.4607,TGO,Lomé,Africa,9053799.0,8848699.0,8442580.0,7473229.0,6571855.0,5008035.0,3875947.0,2838110.0,2197383.0,56785.0
100,Austria,0.1113797660084292,0.0022,108.5671,AUT,Vienna,Europe,8958960.0,8939617.0,8907777.0,8642421.0,8362829.0,8010428.0,7678729.0,7547561.0,7465301.0,83871.0
101,Switzerland,0.10936212851420286,0.0064,222.6103,CHE,Bern,Europe,8796669.0,8740472.0,8638613.0,8281732.0,7822435.0,7182059.0,6711693.0,6319113.0,6181227.0,41284.0
102,Sierra Leone,0.10929279402057536,0.0215,121.794,SLE,Freetown,Africa,8791092.0,8605718.0,8233969.0,7314773.0,6436698.0,4584067.0,4325388.0,3367477.0,2778557.0,71740.0
103,Laos,0.09490482363801833,0.0139,33.0753,LAO,Vientiane,Asia,7633779.0,7529475.0,7319399.0,6787419.0,6323418.0,5430853.0,4314443.0,3297519.0,2675283.0,236800.0
104,Hong Kong,0.0931373348521081,0.0004,7134.8657,HKG,Hong Kong,Asia,7491609.0,7488865.0,7500958.0,7399838.0,7132438.0,6731195.0,5838574.0,4978544.0,3955072.0,1104.0
105,Serbia,0.0888789015060055,-0.01,81.7411,SRB,Belgrade,Europe,7149077.0,7221365.0,7358005.0,7519496.0,7653748.0,7935022.0,7987529.0,7777010.0,7193533.0,88361.0
106,Nicaragua,0.08760127950374315,0.0141,58.5533,NIC,Managua,North America,7046310.0,6948392.0,6755895.0,6298598.0,5855734.0,5123222.0,4227820.0,3303309.0,2444767.0,130373.0
107,Libya,0.08563795838080218,0.0112,3.9149,LBY,Tripoli,Africa,6888388.0,6812341.0,6653942.0,6192235.0,6491988.0,5154790.0,4236983.0,2962720.0,1909177.0,1759540.0
108,Paraguay,0.08530397920977671,0.0119,17.2704,PRY,Asunción,South America,6861524.0,6780744.0,6618695.0,6177950.0,5768613.0,5123819.0,4059195.0,3078912.0,2408787.0,406752.0
109,Kyrgyzstan,0.08373531892603334,0.0158,35.1165,KGZ,Bishkek,Asia,6735347.0,6630623.0,6424874.0,5914980.0,5483774.0,4935182.0,4394734.0,3691209.0,3016384.0,199951.0
110,Bulgaria,0.08314317226448094,-0.0139,61.6039,BGR,Sofia,Europe,6687717.0,6781953.0,6979175.0,7309253.0,7592273.0,8097691.0,8767778.0,8980606.0,8582950.0,110879.0
111,Turkmenistan,0.0810095918820405,0.0133,13.8661,TKM,Ashgabat,Asia,6516100.0,6430770.0,6250438.0,5766431.0,5267970.0,4569132.0,3720278.0,2862903.0,2201432.0,488100.0
112,El Salvador,0.07913037473065952,0.0045,307.1884,SLV,San Salvador,North America,6364943.0,6336392.0,6292731.0,6231066.0,6114034.0,5958482.0,5367179.0,4508992.0,3619090.0,21041.0
113,Republic of the Congo,0.07592194186201635,0.0229,17.8825,COG,Brazzaville,Africa,6106869.0,5970424.0,5702174.0,5064386.0,4437884.0,3134030.0,2385435.0,1829256.0,1396989.0,342000.0
114,Singapore,0.07477636247349216,0.0065,8377.0515,SGP,Singapore,Asia,6014723.0,5975689.0,5909869.0,5650018.0,5163590.0,4053602.0,3022209.0,2400729.0,2061831.0,710.0
115,Denmark,0.0734857736652672,0.0049,147.7728,DNK,Copenhagen,Europe,5910913.0,5882261.0,5825641.0,5677796.0,5550849.0,5340655.0,5144623.0,5125392.0,4922963.0,43094.0
116,Slovakia,0.07204719170442583,0.0269,118.1849,SVK,Bratislava,Europe,5795199.0,5643453.0,5456681.0,5424444.0,5396424.0,5376690.0,5261305.0,4973883.0,4522867.0,49037.0
117,Central African Republic,0.0713897261564616,0.0292,9.2175,CAF,Bangui,Africa,5742315.0,5579144.0,5343020.0,4819333.0,4660067.0,3759170.0,2809221.0,2415276.0,2067356.0,622984.0
118,Finland,0.06894256787680646,0.0009,18.2453,FIN,Helsinki,Europe,5545475.0,5540745.0,5529468.0,5479461.0,5363271.0,5176209.0,4986545.0,4779418.0,4606621.0,338424.0
119,Norway,0.06805845051723688,0.0074,15.0277,NOR,Oslo,Europe,5474360.0,0.0,5379839.0,0.0,4889741.0,4491202.0,4241636.0,4085776.0,3875546.0,323802.0
120,Liberia,0.06736245751799926,0.0218,56.2539,LBR,Monrovia,Africa,5418377.0,5302681.0,5087584.0,4612329.0,4019956.0,2895224.0,2209731.0,1932169.0,1463563.0,111369.0
121,Palestine,0.06677631561893961,0.0231,892.2309,PSE,Ramallah,Asia,5371230.0,5250072.0,5019401.0,4484614.0,3992278.0,3139954.0,2124609.0,1453620.0,1118241.0,6220.0
122,Lebanon,0.06656123820460291,-0.0247,523.3558,LBN,Beirut,Asia,5353930.0,5489739.0,5662923.0,6398940.0,4995800.0,4320642.0,3593700.0,2963702.0,2381791.0,10452.0
123,New Zealand,0.06499689190136676,0.0083,19.8553,NZL,Wellington,Oceania,5228100.0,5185288.0,5061133.0,4590590.0,4346338.0,3855266.0,3397389.0,3147168.0,2824061.0,270467.0
124,Costa Rica,0.0647988839257517,0.006,102.0794,CRI,San José,North America,5212173.0,5180829.0,5123105.0,4895242.0,4622252.0,3979193.0,3158253.0,2414303.0,1855697.0,51100.0
125,Ireland,0.06286893088258413,0.0067,73.4059,IRL,Dublin,Europe,5056935.0,5023109.0,4946119.0,4665760.0,4524585.0,3768950.0,3485374.0,3391387.0,2937637.0,70273.0
126,Mauritania,0.060457751449003574,0.0268,4.7181,MRT,Nouakchott,Africa,4862989.0,4736139.0,4498604.0,3946220.0,3419461.0,2695003.0,2006027.0,1506694.0,1122198.0,1030700.0
127,Oman,0.057740005890560116,0.0149,15.0061,OMN,Muscat,Asia,4644384.0,4576298.0,4543399.0,4191776.0,2881914.0,2344253.0,1804524.0,1017462.0,670693.0,309500.0
128,Panama,0.05554824271626444,0.0135,60.233,PAN,Panama City,North America,4468087.0,4408581.0,4294396.0,3957099.0,3623617.0,3001731.0,2449968.0,1956987.0,1516188.0,75417.0
129,Kuwait,0.05358421295675601,0.0097,241.8691,KWT,Kuwait City,Asia,4310108.0,4268873.0,4360444.0,3908743.0,2943356.0,1934901.0,1674938.0,1493870.0,802786.0,17818.0
130,Croatia,0.049836010371450634,-0.0054,71.6336,HRV,Zagreb,Europe,4008617.0,4030358.0,4096868.0,4254815.0,4368682.0,4548434.0,4873707.0,4680144.0,4492638.0,56594.0
131,Eritrea,0.046607163796776215,0.0176,30.9722,ERI,Asmara,Africa,3748901.0,3684032.0,3555868.0,3340006.0,3147727.0,2392880.0,2149960.0,1657982.0,1272748.0,117600.0
132,Georgia,0.046350823842660135,-0.0043,53.6521,GEO,Tbilisi,Asia,3728282.0,3744385.0,3765912.0,3771132.0,0.0,0.0,0.0,0.0,0.0,69700.0
133,Mongolia,0.04285581585968894,0.0144,2.2133,MNG,Ulaanbaatar,Asia,3447157.0,3398366.0,3294335.0,2964749.0,2702520.0,2450979.0,2161433.0,1697780.0,1293880.0,1564110.0
134,Moldova,0.04271625175255925,0.0498,104.4845,MDA,Chisinau,Europe,3435931.0,3272996.0,3084847.0,3277388.0,3678186.0,4251573.0,4480199.0,4103240.0,3711140.0,33846.0
135,Uruguay,0.042556833389319974,0.0001,19.5584,URY,Montevideo,South America,3423108.0,3422794.0,3429086.0,3402818.0,3352651.0,3292224.0,3117012.0,2953750.0,2790265.0,181034.0
136,Puerto Rico,0.04053294248819125,0.0024,367.5664,PRI,San Juan,North America,3260314.0,3252407.0,3271564.0,3497335.0,3717922.0,3827108.0,3543776.0,3214568.0,2737619.0,8870.0
137,Bosnia and Herzegovina,0.039917957837613614,-0.007,62.7119,BIH,Sarajevo,Europe,3210847.0,3233526.0,3318407.0,3524324.0,3811088.0,4179350.0,4494310.0,4199820.0,3815561.0,51209.0
138,Albania,0.035213506149502756,-0.0035,103.3737,ALB,Tirana,Europe,2832439.0,2842321.0,2866849.0,2882481.0,2913399.0,3182021.0,3295066.0,2941651.0,2324731.0,28748.0
139,Jamaica,0.035127785989280125,-0.0006,260.8997,JAM,Kingston,North America,2825544.0,2827377.0,2820436.0,2794445.0,2733896.0,2612205.0,2392030.0,2135546.0,1859091.0,10991.0
140,Armenia,0.03453633553207471,-0.0009,97.5753,ARM,Yerevan,Asia,2777970.0,2780469.0,2805608.0,2878595.0,2946293.0,3168523.0,3556539.0,3135123.0,2534377.0,29743.0
141,Gambia,0.03447663600932068,0.0248,274.0285,GMB,Banjul,Africa,2773168.0,2705992.0,2573995.0,2253133.0,0.0,0.0,0.0,0.0,0.0,10689.0
142,Lithuania,0.03379515141138542,-0.0115,43.4103,LTU,Vilnius,Europe,2718352.0,2750055.0,2820267.0,2963765.0,3139019.0,3599637.0,3785847.0,3521206.0,3210147.0,65300.0
143,Qatar,0.033770771827020436,0.0079,236.4135,QAT,Doha,Asia,2716391.0,2695122.0,2760385.0,2414573.0,1713504.0,645937.0,441675.0,277450.0,118007.0,11586.0
144,Botswana,0.03326056593066417,0.0171,4.7207,BWA,Gaborone,Africa,2675352.0,2630296.0,2546402.0,2305171.0,2091664.0,1726985.0,1341474.0,938578.0,592244.0,582000.0
145,Namibia,0.03237564047676327,0.0145,3.1631,NAM,Windhoek,Africa,2604172.0,2567012.0,2489098.0,2282704.0,2099271.0,1819141.0,1369011.0,975994.0,754467.0,825615.0
146,Gabon,0.03029192573067569,0.0199,9.4561,GAB,Libreville,Africa,2436566.0,2388992.0,2292573.0,2028517.0,1711105.0,1272935.0,983028.0,749078.0,597192.0,267668.0
147,Lesotho,0.02897102716891589,0.0106,76.7562,LSO,Maseru,Africa,2330318.0,2305825.0,2254100.0,2118521.0,2022747.0,1998630.0,1798997.0,1407672.0,1023481.0,30355.0
148,Guinea-Bissau,0.026739741965708285,0.0215,76.488,GNB,Bissau,Africa,2150842.0,2105566.0,2015828.0,1788919.0,1567220.0,1230849.0,973551.0,831462.0,591663.0,36125.0
149,Slovenia,0.026352266949949233,-0.0001,105.2658,SVN,Ljubljana,Europe,2119675.0,2119844.0,2117641.0,2080862.0,2057286.0,1984339.0,1986024.0,1901570.0,1741286.0,20273.0
150,North Macedonia,0.025929621182446915,-0.0038,82.6994,MKD,Skopje,Europe,2085679.0,2093599.0,2111072.0,2107962.0,2093828.0,2037936.0,2044174.0,1907023.0,1656783.0,25713.0
151,Latvia,0.022753586680379554,-0.011,29.4104,LVA,Riga,Europe,1830211.0,1850651.0,1897052.0,1991955.0,2101530.0,2392530.0,2689391.0,2572037.0,2397414.0,64559.0
152,Equatorial Guinea,0.021317167925902034,0.0237,61.1291,GNQ,Malabo,Africa,1714671.0,1674908.0,1596049.0,0.0,1094524.0,684977.0,465549.0,282509.0,316955.0,28051.0
153,Trinidad and Tobago,0.0190826752098101,0.0025,299.208,TTO,Port-of-Spain,North America,1534937.0,1531044.0,1518147.0,1460177.0,1410296.0,1332203.0,1266518.0,1127852.0,988890.0,5130.0
154,Bahrain,0.018468175415831265,0.009,1892.3682,BHR,Manama,Asia,1485509.0,1472233.0,1477469.0,1362142.0,1213645.0,711442.0,517418.0,362595.0,222555.0,765.0
155,Timor-Leste,0.016915229458776996,0.0144,91.4994,TLS,Dili,Asia,1360596.0,0.0,1299995.0,1205813.0,1088486.0,0.0,758106.0,642224.0,554021.0,14874.0
